organization,initials,href,course_code,course_name,course_info,instructor,filtered_name,organization_code,organization_href
Yasar University,yasar,https://ce.yasar.edu.tr/engr-3450-proje-yonetimi/,ENGR 3450,Proje Yönetimi,"Bu ders, proje planlama ve yönetim problemlerinin farklı birçok tiplerinin çözümlerinde kullanılabilecek çeşitli nicel araçlar tanıtır. Proje karakteristikleri, proje organizasyon ve yönetimi, çizelgeleme, Gantt Diyagramı, CPM ve PERT, Pert-Zaman ve Pert-Maliyet, Lineer Programlama ile Kritik Yol ve proje süresi kısaltma teknikleri seçilmiş konulardır. Ders ayrıca uygun yazılımlar (Microsoft Project) kullanılarak vaka çalışmaları, disiplinlerarası takımlarda yer alma deneyimi ve uygulamalar içerir.",Dr. Adalet Öner,ADALET ÖNER,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/engr-3450-proje-yonetimi/,ENGR 3450,Proje Yönetimi,"Bu ders, proje planlama ve yönetim problemlerinin farklı birçok tiplerinin çözümlerinde kullanılabilecek çeşitli nicel araçlar tanıtır. Proje karakteristikleri, proje organizasyon ve yönetimi, çizelgeleme, Gantt Diyagramı, CPM ve PERT, Pert-Zaman ve Pert-Maliyet, Lineer Programlama ile Kritik Yol ve proje süresi kısaltma teknikleri seçilmiş konulardır. Ders ayrıca uygun yazılımlar (Microsoft Project) kullanılarak vaka çalışmaları, disiplinlerarası takımlarda yer alma deneyimi ve uygulamalar içerir.",Nejat Kutup,NEJAT KUTUP,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/engr-3450-proje-yonetimi/,ENGR 3450,Proje Yönetimi,"Bu ders, proje planlama ve yönetim problemlerinin farklı birçok tiplerinin çözümlerinde kullanılabilecek çeşitli nicel araçlar tanıtır. Proje karakteristikleri, proje organizasyon ve yönetimi, çizelgeleme, Gantt Diyagramı, CPM ve PERT, Pert-Zaman ve Pert-Maliyet, Lineer Programlama ile Kritik Yol ve proje süresi kısaltma teknikleri seçilmiş konulardır. Ders ayrıca uygun yazılımlar (Microsoft Project) kullanılarak vaka çalışmaları, disiplinlerarası takımlarda yer alma deneyimi ve uygulamalar içerir.",Dr. Esra Ekinci,ESRA EKINCI,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/engr-4400-muhendislik-etigi-ve-seminer/,ENGR 4400,Mühendislik Etiği ve Seminer,"Ethics, morality, ethical responsibilities, employee rights, social responsibilities. Various topics that relate to the engineering practice in the professional life.",Dr. Cahit Helvacı,CAHIT HELVACI,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/engr-4400-muhendislik-etigi-ve-seminer/,ENGR 4400,Mühendislik Etiği ve Seminer,"Ethics, morality, ethical responsibilities, employee rights, social responsibilities. Various topics that relate to the engineering practice in the professional life.",Dr. Hacer Şekerci,HACER ŞEKERCI,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1101-analitik-muhakeme/,MATH 1101,ANALİTİK MUHAKEME,"Mantık, ispat teknikleri, kümeler kuramı",Dr. Gizem Kayar,GIZEM KAYAR,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1131-analiz-i/,MATH 1131,Analiz I,"Fonksiyonlar, Limit ve Süreklilik, Türev, Türev Uygulamaları, İntegral ve Belirsiz İntegralin Uygulamaları",Dr. Esra DALAN YILDIRIM,ESRA DALAN YILDIRIM,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1131-analiz-i/,MATH 1131,Analiz I,"Fonksiyonlar, Limit ve Süreklilik, Türev, Türev Uygulamaları, İntegral ve Belirsiz İntegralin Uygulamaları",Dr. Şahlar Meherrem,ŞAHLAR MEHERREM,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1131-analiz-i/,MATH 1131,Analiz I,"Fonksiyonlar, Limit ve Süreklilik, Türev, Türev Uygulamaları, İntegral ve Belirsiz İntegralin Uygulamaları",Dr. Rafail ALİZADE,RAFAIL ALİZADE,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1131-analiz-i/,MATH 1131,Analiz I,"Fonksiyonlar, Limit ve Süreklilik, Türev, Türev Uygulamaları, İntegral ve Belirsiz İntegralin Uygulamaları",Dr. Ahmet YANTIR,AHMET YANTIR,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1131-analiz-i/,MATH 1131,Analiz I,"Fonksiyonlar, Limit ve Süreklilik, Türev, Türev Uygulamaları, İntegral ve Belirsiz İntegralin Uygulamaları",Dr. Şule AYAR ÖZBAL,ŞULE AYAR ÖZBAL,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1132-analiz-ii/,MATH 1132,Analiz II,"Cebirsel olmayan fonksiyonlar, İntegral teknikleri, Has olmayan integraller, Diziler, Seriler, Mutlak ve şartlı yakınsaklık, kuvvet serileri, Taylor ve Maclaurin Serileri, Çok değişkenli fonksiyonlar, Katlı integraller.",Dr. Esra DALAN YILDIRIM,ESRA DALAN YILDIRIM,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1132-analiz-ii/,MATH 1132,Analiz II,"Cebirsel olmayan fonksiyonlar, İntegral teknikleri, Has olmayan integraller, Diziler, Seriler, Mutlak ve şartlı yakınsaklık, kuvvet serileri, Taylor ve Maclaurin Serileri, Çok değişkenli fonksiyonlar, Katlı integraller.",Dr. Şahlar Meherrem,ŞAHLAR MEHERREM,3290508832415677230,https://ce.yasar.edu.tr/dersler/
Yasar University,yasar,https://ce.yasar.edu.tr/math-1132-analiz-ii/,MATH 1132,Analiz II,"Cebirsel olmayan fonksiyonlar, İntegral teknikleri, Has olmayan integraller, Diziler, Seriler, Mutlak ve şartlı yakınsaklık, kuvvet serileri, Taylor ve Maclaurin Serileri, Çok değişkenli fonksiyonlar, Katlı integraller.",Dr. Rafail ALİZADE,RAFAIL ALİZADE,3290508832415677230,https://ce.yasar.edu.tr/dersler/
